cent.x	cent.y	snr	iter	sum	mean	var	std	skew	kurt	bckg	"ra"	"dec"
20.70578231292517	871.2057823129252	5.567764362830022	4.0	837.0	4.952662721893491	42.53346012961397	6.521768175089787	1.7581419959591937	6.103793963534493	0.0	99.9489526177	9.4354088433
49.0296052631579	77.98684210526316	5.0	6.0	440.0	2.603550295857988	15.597844463229077	3.9494106475813675	2.5779169883568542	13.310858040331116	0.0	99.9195094976	9.8030783617
51.11340206185567	413.6829896907216	5.570484990582331	4.0	1328.0	7.8579881656804735	19.229712595097208	4.385169619877572	0.46837571113987303	7.15007587798447	1.0	99.9253551686	9.6471891899
52.536723163841806	114.09887005649718	4.902903378454601	3.0	1257.0	7.437869822485207	14.164271625810091	3.763545087521882	0.024636390446950724	4.524511466584102	1.0	99.9185927849	9.7862412420
68.974	15.886	5.65685424949238	3.0	813.0	4.810650887573964	35.09488588334742	5.924093676111767	1.6612107876545141	6.272263044243807	0.0	99.9088537513	9.8314963453
99.8029544157738	184.51968553857859	41.50903516103452	5.0	39536.0	233.94082840236686	127414.71076359537	356.9519726288053	2.049469755949932	6.6641761735113105	0.0	99.8977717862	9.7525725342
101.60677083333333	234.2890625	5.196152422706632	3.0	554.0	3.2781065088757395	20.749577345731193	4.55517039700286	1.9083451396089228	8.063129810910052	0.0	99.8979363658	9.7294300041
101.81503579952268	97.71241050119332	5.099019513592785	10.0	537.0	3.1775147928994083	22.40877712031558	4.7337909882371845	1.7998398340570008	6.375656766875056	0.0	99.8950558073	9.7928306799
104.52716049382715	50.571604938271605	5.0	6.0	516.0	3.0532544378698225	21.300718512256974	4.615270145100607	2.054589702417056	7.926921457285527	0.0	99.8928180231	9.8146593102
106.68048780487806	569.4219512195122	5.0	7.0	551.0	3.260355029585799	22.49133558748943	4.742503093039522	1.7727159321034203	6.334387372711419	0.0	99.9023721834	9.5737392330
110.48972099853157	828.2738619676945	5.744562646538029	4.0	989.0	5.85207100591716	58.28155818540433	7.634235926758115	1.5368344992876308	4.671016260058055	0.0	99.9058471613	9.4534871104
122.85181236673775	974.8027718550106	6.782329983125268	5.0	1375.0	8.136094674556213	97.01112989574528	9.849422820437008	1.3729518008645658	4.336500234796761	0.0	99.9030133009	9.3852047924
130.21459227467813	94.83690987124463	4.58257569495584	6.0	714.0	4.224852071005917	22.675331079177234	4.761862144075281	0.9988112451880632	3.3145927876542713	0.0	99.8816247409	9.7935782878
162.82063492063492	594.3857142857142	4.902903378454601	3.0	1213.0	7.177514792899408	16.265919977458438	4.033103020932944	0.12517490807420523	3.837178142243233	1.0	99.8764635263	9.5609883489
166.3587786259542	292.77786259541983	13.490788194920954	3.0	4634.5	27.423076923076923	1373.7232142857142	37.06377226195027	2.3334080798625854	7.943036875488589	0.5	99.8686461394	9.7009369908
235.36302681992336	451.35536398467434	8.544003745317532	3.0	1456.0	8.615384615384615	152.63095238095238	12.354390004405413	2.390777194119307	9.836434469620052	0.0	99.8394054901	9.6258868774
243.12290502793297	473.3435754189944	4.8	5.0	1277.0	7.556213017751479	16.81973795435334	4.101187383472418	-0.053027380090872385	3.8762863445897775	1.0	99.8362029877	9.6155177729
247.260101010101	583.90867003367	11.532562594670795	5.0	3252.0	19.242603550295858	707.9943646097493	26.608163495621962	2.14602257561543	7.554722052594957	0.0	99.8365165248	9.5641018285
253.15876777251185	664.7417061611375	5.9183635429928625	5.0	1477.0	8.7396449704142	34.44371653987039	5.86887694025615	1.2899067787316383	6.527834244619294	1.0	99.8353934654	9.5264523933
267.52570093457945	681.5864485981308	5.199469468957452	4.0	1301.0	7.6982248520710055	19.057199211045365	4.365455212351327	0.36630594902993246	5.126603329177623	1.0	99.8289782913	9.5183338406
268.9431137724551	466.8502994011976	8.88888888888889	5.0	2205.0	13.04733727810651	217.831079177233	14.759101570801421	2.5078317713571927	9.66689616564681	1.0	99.8239185225	9.6179961150
280.4480198019802	478.8019801980198	5.385164807134505	5.0	547.0	3.2366863905325443	22.431741335587493	4.736215930000182	2.1608607789042225	9.198660632672873	0.0	99.8187486571	9.6122084993
303.2673112913288	634.268558951965	8.717797887081346	3.0	2292.0	13.562130177514794	322.069033530572	17.946281885966574	1.8594958880618988	5.988332696143544	0.0	99.8111934266	9.5395585584
324.30379377431905	404.53239299610897	43.7721432120525	4.0	37885.0	224.1715976331361	137668.0834742181	371.0364988437365	2.403140195510312	8.624122947807455	1.0	99.7965868256	9.6457761194
