cent.x	cent.y	snr	iter	sum	mean	var	std	skew	kurt	bckg	"ra"	"dec"
3.0530973451327434	572.8141592920354	4.58257569495584	5.0	392.0	2.7412587412587412	12.672018122722347	3.5597778192918654	1.7096266763928651	7.127282247436729	0.0	49.7685795264	47.1139423158
30.72096317280453	75.34135977337111	5.916079783099616	4.0	598.0	3.5384615384615383	22.166666666666664	4.708148963941844	2.464345665924628	13.889007849558807	0.0	49.7380684681	47.3443843632
38.01392111368909	649.5591647331787	8.124038404635959	4.0	1122.0	6.6390532544378695	143.07727528881372	11.961491348858374	2.960344443576641	12.520671564898752	0.0	49.7465769002	47.0777549563
41.65530303030303	376.06060606060606	4.58257569495584	3.0	394.0	2.331360946745562	11.937165398703858	3.4550203181318424	2.215791920880375	9.564657196890993	0.0	49.7376834551	47.2046341742
42.642011834319526	73.18934911242603	4.79583152331272	6.0	447.0	2.6449704142011834	14.837489433643281	3.851946187791735	1.9236685111492313	7.771764855534582	0.0	49.7298674923	47.3451880117
49.239255014326645	293.77220630372494	4.69041575982343	6.0	516.0	3.0532544378698225	17.884051845590307	4.228953989533382	1.79953551039618	6.500717396519294	0.0	49.7305719131	47.2427022535
49.96954314720812	861.8299492385787	4.58257569495584	11.0	524.0	3.100591715976331	21.995773457311916	4.689965187217482	1.938269844239261	6.433397157393796	0.0	49.7434134249	46.9790390865
50.47035040431267	534.6078167115903	4.58257569495584	5.0	475.0	2.8106508875739644	17.571076359537898	4.191786774102172	1.8169013126734819	6.396318433226936	0.0	49.7354043268	47.1309037814
51.01170568561873	101.69397993311037	4.364357804719848	4.0	1197.0	7.0828402366863905	16.12404902789518	4.015476189431981	-0.3837769845919518	2.287750459751782	1.0	49.7248206118	47.3318210912
51.506493506493506	610.9935064935065	4.69041575982343	8.0	467.0	2.7633136094674557	14.550788954635106	3.814549639817931	1.8479165902401646	7.449043037089725	0.0	49.7364934116	47.0954340824
52.24061990212072	641.4216965742252	4.583815401645624	3.0	1226.5	7.257396449704142	14.619364609749228	3.823527770233823	-0.27994424106261967	2.7319200107258417	0.5	49.7367082107	47.0812994973
52.29141104294479	929.2730061349694	4.364357804719848	4.0	1278.0	7.562130177514793	15.878557340095805	3.984790752360255	-0.5285310316771991	2.57683683160536	1.0	49.7434128452	46.9476991425
52.335734870317005	498.8256484149856	5.196152422706632	3.0	452.0	2.6745562130177514	17.030360664976044	4.12678575467349	2.33351894466245	10.802175396722149	0.0	49.7332924573	47.1474807451
52.619840213049265	663.1830892143809	7.745966692414833	6.0	967.0	5.72189349112426	86.88052972668358	9.320972574076354	2.7961107299837047	12.641376251897098	0.0	49.7369609316	47.0711932245
71.1840486509157	332.67670907311617	24.819347291981714	4.0	7853.0	46.467455621301774	11455.071851225695	107.02836937572064	3.2464407852836468	13.70544650191626	0.0	49.7165204542	47.2242851061
85.11316872427983	832.0370370370371	5.65685424949238	4.0	675.0	3.9940828402366866	35.613060016906175	5.967667887617924	2.3164266088769145	9.28103719611785	0.0	49.7188488578	46.9922906504
